Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRC	3257	3.5275e-09	59.914	54.345	0.140745847930826	9.34566038853352e-09	HPS1
KIRC	100616482	3.9586e-19	1	1	0	2.00721032872365e-18	MIR4685
KIRC	101927278	1.0056e-12	1	1	0	3.37858639026589e-12	AL139243.1
KIRC	60495	0.0001245	1	1.591	-0.669933835668961	0.000240255996548749	HPSE2
KIRC	102465253	0.16098	1	1	0	0.204479706951386	MIR6507
KIRC	26507	0.076592	2.348	2.022	0.215649411207038	0.105452695475531	CNNM1
KIRC	2805	1e-20	117.642	322.8	-1.45623736219924	5.66341093670886e-20	GOT1
KIRC	159296	1.1021e-05	1	1	0	2.30004372492302e-05	NKX2-3
KIRC	81894	1e-20	60.281	46.99	0.35934958222714	5.66341093670886e-20	SLC25A28
KIRC	57089	0.010991	6.387	7.883	-0.303606324025319	0.0176585522591768	ENTPD7
KIRC	51076	1.309e-09	32.605	28.26	0.20633175406304	3.57735752688172e-09	CUTC
KIRC	1355	1.1563e-18	24.332	32.162	-0.402502214245457	5.68891460624725e-18	COX15
KIRC	1244	0.0075779	15.577	9.48	0.716458444909724	0.0124111973784417	ABCC2
KIRC	23268	1e-20	13.547	32.014	-1.24072954582484	5.66341093670886e-20	DNMBP
KIRC	100188954	0.0065953	1	1	0	0.0108912049468399	DNMBP-AS1
KIRC	1369	0.00018389	1	1	0	0.000350509948866542	CPN1
KIRC	10613	8.6303e-16	41.757	51.358	-0.298570955353187	3.53202726075023e-15	ERLIN1
KIRC	1147	1e-20	19.53	38.49	-0.978791721924047	5.66341093670886e-20	CHUK
KIRC	55280	0.025084	20.26	19.339	0.0671209776872958	0.0382745766134534	CWF19L1
KIRC	677800	0.012419	1	1	0	0.0198175908961187	SNORA12
KIRC	282991	0.85235	33.042	34.578	-0.065553411235805	0.864290705898354	BLOC1S2
KIRC	9033	1.1364e-09	1	1	0	3.11670415695892e-09	PKD2L1
KIRC	6319	1e-20	217.582	20.773	3.38877772325632	5.66341093670886e-20	SCD
KIRC	90271	6.4364e-09	19.902	16.379	0.281066140289781	1.67625200745226e-08	OLMALINC
KIRC	7479	1.8767e-08	1	1.534	-0.617298482840846	4.74553671000565e-08	WNT8B
KIRC	25956	1e-20	3.541	1.446	1.2920892914398	5.66341093670886e-20	SEC31B
KIRC	4714	0.46137	13.369	15.036	-0.169529264486107	0.488890009001753	NDUFB8
KIRC	55662	1.3994e-14	12.739	16.931	-0.41041515423699	5.27185117062489e-14	HIF1AN
KIRC	5076	0.0026327	45.516	52.336	-0.201429887067385	0.00453538998690595	PAX2
KIRC	55719	3.2312e-08	19.085	15.771	0.275165045809889	8.04240142443801e-08	SLF2
KIRC	84545	5.4446e-05	100.079	116.383	-0.217741060848065	0.000107955606028369	MRPL43
KIRC	57715	0.02786	9.883	10.044	-0.0233129879980726	0.042170868976719	SEMA4G
KIRC	693193	0.0099257	1	1	0	0.0160356982230569	MIR608
KIRC	56652	0.053459	9.755	10.758	-0.141196116093142	0.0762249135534872	TWNK
KIRC	84445	7.7551e-07	59.807	53.074	0.172309068207151	1.75628358242203e-06	LZTS2
KIRC	79955	6.7563e-06	1.597	1.341	0.252055075506759	1.43097922159091e-05	PDZD7
KIRC	81855	1e-20	77.153	35.958	1.10140947557591	5.66341093670886e-20	SFXN3
KIRC	81621	2.1346e-06	2.595	5.104	-0.975893790519626	4.68384809182772e-06	KAZALD1
KIRC	3195	0.072629	1	1	0	0.10058329498452	TLX1
KIRC	101927396	0.24483	1	1	0	0.293439139381598	LINC01514
KIRC	10660	0.12136	1	1	0	0.159563679971783	LBX1
KIRC	101927419	0.19759	1	1	0	0.243541162790698	LINC02681
KIRC	8945	1e-20	11.335	18.449	-0.70275822823463	5.66341093670886e-20	BTRC
KIRC	25911	1e-20	85.128	53.871	0.660124890130731	5.66341093670886e-20	DPCD
KIRC	27343	1e-20	31.246	23.228	0.427806573836684	5.66341093670886e-20	POLL
KIRC	6468	0.0025712	77.31	90.161	-0.221848479000498	0.00443490855247937	FBXW4
KIRC	2253	0.3144	1	1	0	0.345689000437765	FGF8
KIRC	10360	2.3177e-10	21.605	32.956	-0.609175916618952	6.65866129736673e-10	NPM3
KIRC	10724	7.9772e-06	109.842	96.507	0.186724304235284	1.68081069430052e-05	OGA
KIRC	30819	2.1501e-11	1.598	1	0.67626740826589	6.60655812611622e-11	KCNIP2
KIRC	79591	4.7345e-07	23.489	26.112	-0.152727667792688	1.08785521882063e-06	ARMH3
KIRC	79803	0.0044466	21.136	22.019	-0.059046578231215	0.00747370974674983	HPS6
KIRC	8861	1.3558e-07	46.419	56.114	-0.273645313587612	3.23695802732707e-07	LDB1
KIRC	23082	0.0015541	16.976	15.967	0.0884032875450231	0.00273434554751416	PPRC1
KIRC	9221	6.8581e-12	50.89	65.652	-0.367456770239175	2.18159955340634e-11	NOLC1
KIRC	83401	0.000109	1	1	0	0.000211274287199931	ELOVL3
KIRC	5309	0.61048	1	1	0	0.634774322640632	PITX3
KIRC	8729	1.2217e-19	37.522	57.138	-0.606713810014806	6.41873201785295e-19	GBF1
KIRC	4791	1e-20	63.679	30.765	1.04952768777781	5.66341093670886e-20	NFKB2
KIRC	5662	0.81272	1	1.212	-0.277389698810864	0.827259040684445	PSD
KIRC	79176	1.5048e-07	12.124	17.298	-0.512739485431734	3.5816065552836e-07	FBXL15
KIRC	79004	0.035608	126.52	131.614	-0.0569474981378947	0.0528087346992905	CUEDC2
KIRC	574447	8.9762e-05	1	1	0	0.000175077779018052	MIR146B
KIRC	100505761	1.4914e-20	14.874	30.04	-1.01409213559376	8.32667309036445e-20	RPARP-AS1
KIRC	79847	0.053914	3.957	3.757	0.0748259493309297	0.0768051289171975	MFSD13A
KIRC	10121	4.3432e-14	93.944	110.871	-0.239009128074999	1.5867365436132e-13	ACTR1A
KIRC	51684	0.086242	31.276	31.438	-0.00745342719219479	0.117307582071398	SUFU
KIRC	81603	1e-20	114.114	203.868	-0.837159542929159	5.66341093670886e-20	TRIM8
KIRC	403	1e-20	23.178	38.452	-0.73030255548676	5.66341093670886e-20	ARL3
KIRC	118980	1.1418e-12	5.249	21.978	-2.06594560421894	3.82183460041904e-12	SFXN2
KIRC	1586	0.00022113	1	13.631	-3.76881950017942	0.000418638359573387	CYP17A1
KIRC	119032	7.0401e-20	41.507	62.43	-0.588884803704228	3.76425715037055e-19	BORCS7
KIRC	107984265	2.606e-05	1	1	0	5.28525535001814e-05	AL356608.2
KIRC	54805	1.345e-16	3.88	8.564	-1.14222814331102	5.78727779915352e-16	CNNM2
KIRC	22978	1e-20	13.885	26.944	-0.956436866360188	5.66341093670886e-20	NT5C2
KIRC	729020	0.31776	1	1	0	0.345689000437765	RPEL1
KIRC	9118	0.45423	1	1	0	0.482032082937939	INA
KIRC	84108	0.54812	8.273	8.057	0.0381678266246643	0.573988759247121	PCGF6
KIRC	6877	7.3373e-08	3.744	3.114	0.265811490504368	1.78647998911387e-07	TAF5
KIRC	84833	1.0391e-05	221.736	283.607	-0.355050123365748	2.17343220798653e-05	ATP5MD
KIRC	22984	0.00056982	17.634	19.518	-0.146445463389799	0.0010419059941138	PDCD11
KIRC	51063	1e-20	28.087	16.074	0.805173550007792	5.66341093670886e-20	CALHM2
KIRC	255022	0.31776	1	1	0	0.345689000437765	CALHM1
KIRC	102724341	0.31776	1	1	0	0.345689000437765	NEURL1-AS1
KIRC	9148	0.0022624	1	1	0	0.00392345804450647	NEURL1
KIRC	9644	2.4382e-19	17.036	9.304	0.872663633077119	1.25593692307692e-18	SH3PXD2A
KIRC	100505839	0.017243	1	1	0	0.0269238297961463	SH3PXD2A-AS1
KIRC	79991	5.0435e-18	11.473	16.611	-0.533896246094489	2.37130378389741e-17	STN1
KIRC	9748	4.4191e-13	34.148	51.724	-0.599032763792128	1.51707736914812e-12	SLK
KIRC	1308	0.0063249	1	1	0	0.0104639924106813	COL17A1
KIRC	100126326	0.31776	1	1	0	0.345689000437765	MIR936
KIRC	119392	6.6728e-17	16.192	11.2	0.531782462861981	2.92348373751224e-16	SFR1
KIRC	80217	6.4938e-12	1.422	3.127	-1.13685775430563	2.0695401937874e-11	CFAP43
KIRC	693194	0.068335	1	1	0	0.095178765101507	MIR609
KIRC	9446	1.2381e-05	317.535	289.082	0.135436839706827	2.57426276842986e-05	GSTO1
KIRC	100616323	0.0013651	1.331	2.634	-0.984744774344622	0.00241091492419457	MIR4482
KIRC	119391	1e-20	2.44	13.565	-2.47493599471898	5.66341093670886e-20	GSTO2
KIRC	85450	4.255e-19	37.047	22.987	0.688538526083264	2.15261999547614e-18	ITPRIP
KIRC	159686	1e-20	1	1	0	5.66341093670886e-20	CFAP58
KIRC	22986	1e-20	2.25	1	1.16992500144231	5.66341093670886e-20	SORCS3
KIRC	100505890	0.13876	1	1	0	0.179850843764488	SORCS3-AS1
KIRC	105378470	0.3143	1	1	0	0.345689000437765	LINC02624
KIRC	114815	0.00013445	1	1.128	-0.173767067736706	0.000258854153395885	SORCS1
KIRC	103695365	0.52904	1	1	0	0.555282211272232	LINC01435
KIRC	7511	6.6417e-08	63.086	56.891	0.149119438687715	1.62011410404624e-07	XPNPEP1
KIRC	100505933	2.2519e-06	1.256	1	0.32883646422954	4.9301091816758e-06	ADD3-AS1
KIRC	120	1.1632e-19	83.316	148.119	-0.830091232162173	6.12288331372088e-19	ADD3
KIRC	4601	1e-20	97.218	56.071	0.793968655021437	5.66341093670886e-20	MXI1
KIRC	10285	0.0059408	19.445	20.698	-0.0900921353929825	0.00984747148892018	SMNDC1
KIRC	1847	0.00030668	25.509	43.909	-0.783510334627916	0.000573992040167364	DUSP5
KIRC	9126	1.4788e-05	28.956	34.59	-0.256492692323383	3.05880336631832e-05	SMC3
KIRC	282996	1.3171e-05	1.509	1.217	0.310263637812955	2.73267705009276e-05	RBM20
KIRC	27250	0.46939	48.969	48.781	0.00554940157767144	0.496894014577811	PDCD4
KIRC	92482	0.0025491	17.286	19.082	-0.142608322981787	0.00439882498264023	BBIP1
KIRC	8036	2.626e-09	42.328	52.206	-0.302603301423906	7.01458449779052e-09	SHOC2
KIRC	100313921	0.040122	1	1	0	0.058851564270724	MIR548E
KIRC	150	4.801e-06	1.725	5.27	-1.61120659997168	1.02627512185798e-05	ADRA2A
KIRC	57678	1.6127e-19	4.967	10.036	-1.01473772397193	8.40888610722611e-19	GPAM
KIRC	6975	0.31776	1	1	0	0.345689000437765	TECTB
KIRC	51703	9.6927e-07	22.737	18.639	0.286717452399921	2.18095501207243e-06	ACSL5
KIRC	64429	2.273e-20	52.789	87.216	-0.724355488601781	1.25309139758442e-19	ZDHHC6
KIRC	143187	1e-20	13.896	27.132	-0.965325738762292	5.66341093670886e-20	VTI1A
KIRC	100422909	0.047278	1	1	0	0.0682690779262703	MIR4295
KIRC	6934	0.47136	21.636	21.301	0.022512641581298	0.498861390242748	TCF7L2
KIRC	3026	4.9134e-06	5.99	12.656	-1.07919359679664	1.04949961226244e-05	HABP2
KIRC	4892	7.3288e-05	1	1	0	0.000143988001405481	NRAP
