Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUAD	349633	0.0016472	1	1	0	0.00273820738420228	PLET1
LUAD	100132686	0.0037427	1	1	0	0.00591208128853923	AP002884.4
LUAD	283140	0.0022739	2.063	2.401	-0.218891582343932	0.00370077474076238	AP002884.1
LUAD	101928823	0.0011419	1	1	0	0.00194583112623289	AP003063.1
LUAD	4684	0.021597	1	2.105	-1.07382023329167	0.0305162200595955	NCAM1
LUAD	54970	0.81341	11.018	11.294	-0.035694168416199	0.827783957534247	TTC12
LUAD	255239	0.018282	1	1	0	0.0261270236614299	ANKK1
LUAD	1813	0.094022	1	1	0	0.118508557516118	DRD2
LUAD	100422855	0.31776	1	1	0	0.342999812079237	MIR4301
LUAD	80975	0.00097149	1	1	0	0.00167077688324716	TMPRSS5
LUAD	9183	1e-20	17.662	13.169	0.423502921964407	5.48805712878601e-20	ZW10
LUAD	644672	0.10404	1	1	0	0.12980683423837	CLDN25
LUAD	57646	1e-20	16.553	10.658	0.635155970839823	5.48805712878601e-20	USP28
LUAD	9177	0.088704	1	1	0	0.11245426894198	HTR3B
LUAD	3359	5.0075e-16	2.524	1	1.33571191032046	2.09227882452193e-15	HTR3A
LUAD	7704	5.486e-07	1	7.014	-2.81023743059073	1.2766678709408e-06	ZBTB16
LUAD	4837	0.91975	150.859	175.847	-0.221119954516962	0.926861469072165	NNMT
LUAD	101928940	0.0097233	1	1	0	0.0144922883100381	AP002518.1
LUAD	54494	0.012307	13.283	14.272	-0.103606500468304	0.0180665333289422	C11orf71
LUAD	10179	0.28775	18.375	19.257	-0.0676387168753634	0.324171472981853	RBM7
LUAD	25996	1e-20	71.14	54.711	0.378830049060259	5.48805712878601e-20	REXO2
LUAD	120400	0.13584	1	1	0	0.165688817863398	NXPE1
LUAD	54827	0.013302	1	1	0	0.0194171911186796	NXPE4
LUAD	120406	0.046556	1	1	0	0.0620978856903465	NXPE2
LUAD	23705	1e-20	21.822	74.746	-1.77621304454534	5.48805712878601e-20	CADM1
LUAD	101929011	0.038248	1	1	0	0.051750435648373	AP000770.1
LUAD	84811	0.0048885	26.857	27.118	-0.0139526203089389	0.00759709919113032	BUD13
LUAD	8882	1e-20	17.707	14.501	0.288167411857556	5.48805712878601e-20	ZPR1
LUAD	116519	0.014205	1	1	0	0.0206420313620656	APOA5
LUAD	337	0.018574	1	1	0	0.0265120236966825	APOA4
LUAD	345	0.061731	1	1	0	0.0807441045249134	APOC3
LUAD	335	0.3863	1	1.816	-0.860764202628828	0.412666831232325	APOA1
LUAD	104326055	0.59107	1	1.55	-0.632268215499513	0.615569022897196	APOA1-AS
LUAD	23387	0.074369	18.496	21.262	-0.201064006729223	0.095807046416185	SIK3
LUAD	5049	3.257e-11	129.344	117.994	0.132499631595849	1.00845733537094e-10	PAFAH1B2
LUAD	51092	4.6515e-18	34.199	68.05	-0.992641021300358	2.1843232300885e-17	SIDT2
LUAD	6876	9.8529e-05	70.407	122.204	-0.795500731809076	0.000190667345923418	TAGLN
LUAD	9159	0.00061504	15.43	15.209	0.0208127637094098	0.00108970478416408	PCSK7
LUAD	257160	1.7673e-12	11.893	10.08	0.238617040854546	5.94712593990639e-12	RNF214
LUAD	23621	9.2861e-11	7.251	10.867	-0.583701838568279	2.78958499393449e-10	BACE1
LUAD	22897	2.3818e-05	13.296	11.586	0.198609717098538	4.86867619921123e-05	CEP164
