Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
THCA	55959	0.00016705	52.971	43.291	0.291135618001884	0.000363947550432277	SULF2
THCA	284749	0.051436	1	1	0	0.0771834503397206	LINC00494
THCA	57580	0.012869	20.522	14.856	0.466125617258672	0.0217127093562232	PREX1
THCA	10564	0.023949	36.69	43.71	-0.252576473537126	0.0383840136986301	ARFGEF2
THCA	102723483	0.28085	1	1	0	0.343213189928505	CSE1L-AS1
THCA	1434	0.14053	51.275	53.933	-0.0729126986684059	0.189442754080373	CSE1L
THCA	6780	5.2009e-05	133.443	153.594	-0.202898231462028	0.000121095582089552	STAU1
THCA	55661	0.016451	52.567	55.356	-0.0745822956201795	0.0271754648289772	DDX27
THCA	57169	0.46149	34.734	37.799	-0.121999505005432	0.505970963855422	ZNFX1
THCA	441951	1.7603e-11	73.694	50.825	0.536008853041128	9.40996921403318e-11	ZFAS1
THCA	26765	0.040119	1	1	0	0.0615596459016393	SNORD12C
THCA	100113393	0.079975	1	1	0	0.11476882529021	SNORD12B
THCA	3745	0.37558	1	1	0	0.421755054844607	KCNB1
THCA	5740	5.1567e-05	1.365	4.277	-1.64769825606912	0.000120166087966805	PTGIS
THCA	9334	1e-20	35.483	23.944	0.56746380714898	1.62178217821782e-19	B4GALT5
THCA	23315	4.659e-11	14.394	20.123	-0.483377839217284	2.3421305370844e-10	SLC9A8
THCA	9825	2.697e-18	14.129	26.599	-0.912712647552399	3.34586044164038e-17	SPATA2
THCA	55905	0.077858	108.502	113.147	-0.0604766973533111	0.112041646386998	RNF114
THCA	6615	1.3396e-15	8.078	27.794	-1.7827034251585	1.22356773234201e-14	SNAI1
THCA	7335	0.011178	2.001	2.378	-0.249027547839915	0.0190377582531843	UBE2V1
THCA	101927541	2.7661e-05	3.319	4.972	-0.583077666974185	6.66876752115786e-05	LINC01273
THCA	101927559	1.0725e-12	1.68	3.3	-0.974004791467055	6.70090909090909e-12	CEBPB-AS1
THCA	1051	0.10311	71.824	73.003	-0.0234897502456258	0.1441896812749	CEBPB
THCA	284751	9.9472e-07	1.058	2.116	-1	2.86983947159841e-06	LINC01270
THCA	5770	5.2364e-07	27.74	35.127	-0.340612581670299	1.56352238189275e-06	PTPN1
THCA	693230	0.85154	1	1	0	0.869680465551283	MIR645
THCA	140876	1.3723e-08	1.05	3.642	-1.79434159442335	5.03526764980399e-08	RIPOR3
THCA	84612	0.79766	10.825	8.969	0.271347979228232	0.821180797150788	PARD6B
THCA	55653	9.2491e-10	69.278	43.557	0.669492689752649	3.97290886363636e-09	BCAS4
THCA	23394	2.1491e-07	48.715	60.188	-0.305109812101497	6.7394239948947e-07	ADNP
THCA	101927631	1.321e-07	5.06	6.601	-0.383547213151028	4.2455160235448e-07	ADNP-AS1
THCA	8813	4.8678e-11	71.833	87.54	-0.285295615152474	2.43960930137685e-10	DPM1
THCA	27304	0.55496	6.544	6.944	-0.0855941995027305	0.596897059370725	MOCS3
THCA	3755	0.42833	1	1	0	0.473977057929404	KCNG1
THCA	4773	6.6522e-05	7.954	14.625	-0.87868415744028	0.000152662747460595	NFATC2
THCA	100422889	0.08763	1	1	0	0.124634969609262	MIR3194
THCA	10079	0.00019169	51.239	65.898	-0.362992360433518	0.000414825348453154	ATP9A
THCA	57167	2.9438e-09	1.48	4.591	-1.63321125619605	1.17968058715596e-08	SALL4
THCA	55734	0.0017771	14.597	17.051	-0.224184457855029	0.00340853606557377	ZFP64
THCA	128553	5.6604e-10	1.003	2.417	-1.2688958671534	2.49128576802508e-09	TSHZ2
THCA	7764	3.9123e-16	32.556	21.584	0.592961200054755	3.82047022354695e-15	ZNF217
THCA	8537	0.58365	1	1	0	0.624315463648237	BCAS1
THCA	1591	1.5893e-09	2.617	1.561	0.745443387070126	6.59891863117871e-09	CYP24A1
THCA	5203	0.90465	25.677	26.275	-0.0332141107128711	0.91706036101083	PFDN4
THCA	55816	6.6183e-16	3.713	12.597	-1.76242297370143	6.28450747826087e-15	DOK5
THCA	140689	9.457e-09	1.21	1	0.27500704749987	3.5407008e-08	CBLN4
THCA	116151	0.066317	63.842	64.59	-0.0168049721609454	0.0971042127532777	FAM210B
THCA	6790	0.010366	2.707	3.2	-0.241377017559761	0.01776253997036	AURKA
THCA	1477	1.5917e-05	18.982	22.054	-0.216408338423896	3.94931269881343e-05	CSTF1
THCA	57091	0.639	1	1	0	0.676661135653486	CASS4
THCA	51507	8.9357e-14	82.762	96.901	-0.227543044731511	6.433704e-13	RTF2
THCA	140687	0.32146	1	1	0	0.366764439284885	GCNT7
THCA	200232	0.25452	1	1	0	0.316435491461101	FAM209A
THCA	388799	0.25039	1	1	0	0.311971719066937	FAM209B
THCA	7022	0.00051345	8.1	6.946	0.221739497277258	0.00105612946839682	TFAP2C
THCA	655	2.4993e-10	87.621	151.828	-0.793089290929409	1.15022806836806e-09	BMP7
THCA	100422883	0.31779	1	1	0	0.364949768637532	MIR4325
THCA	23626	0.31779	1	1	0	0.364949768637532	SPO11
THCA	8480	0.017654	28.497	29.622	-0.0558590022646384	0.0289873046529112	RAE1
THCA	100462983	0.022016	1	1	0	0.0355292689655172	MTRNR2L3
THCA	55544	0.36916	19.319	17.423	0.14902736109552	0.415138678414097	RBM38
THCA	140690	0.31779	1	1	0	0.364949768637532	CTCFL
THCA	5105	0.64146	1	1	0	0.67897349273021	PCK1
THCA	81030	0.10542	1	1.051	-0.0717626693000912	0.147074705089077	ZBP1
THCA	56937	1e-20	35.061	17.656	0.989708610097082	1.62178217821782e-19	PMEPA1
THCA	105416157	7.9815e-08	1.899	2.758	-0.538382551364483	2.6371552193646e-07	NKILA
THCA	128602	0.024287	1	1	0	0.038881354618016	C20orf85
THCA	57403	0.020444	18.726	20.372	-0.121544859257167	0.0331475100222717	RAB22A
THCA	9217	4.4396e-16	24.05	51.13	-1.08813313202954	4.30724469891412e-15	VAPB
THCA	164284	0.00013568	1	1	0	0.000298815247058824	APCDD1L
THCA	149773	0.029551	1	1	0	0.0465726792815908	APCDD1L-DT
THCA	79160	1.2606e-05	1	1	0	3.17142628951747e-05	LINC01711
THCA	8675	0.503	35.438	37.62	-0.0862026634642556	0.546694387614045	STX16
THCA	100534593	0.26443	1	1	0	0.326854237202868	STX16-NPEPL1
THCA	79716	0.95169	6.738	7.308	-0.117156205505731	0.958566161414297	NPEPL1
THCA	100126296	0.00077843	1	1	0	0.00156418115722756	MIR298
THCA	149775	0.72759	1	1	0	0.758137671755725	GNAS-AS1
THCA	2778	0.0093884	3398.813	3788.848	-0.156728275225906	0.0162217291139241	GNAS
THCA	51497	4.0469e-18	81.859	115.4	-0.495430276129009	4.94073704347826e-17	NELFCD
THCA	1522	0.5108	304.51	340.944	-0.163045189766284	0.554160768296722	CTSZ
THCA	81027	0.16092	1	1	0	0.2130128	TUBB1
THCA	514	0.66496	137.94	137.429	0.00535440091020454	0.700678340302348	ATP5F1E
THCA	51012	0.0095026	60.909	69.343	-0.187094834950725	0.0163974282854885	PRELID3B
THCA	128611	0.0020646	1	1	0	0.00392132356749444	ZNF831
THCA	1908	7.4909e-07	4.145	44.678	-3.43012059853406	2.19337301355579e-06	EDN3
THCA	116154	1e-20	1	1	0	1.62178217821782e-19	PHACTR3
THCA	10388	1.0756e-05	1	1.476	-0.561692721398309	2.73258286157425e-05	SYCP2
THCA	63939	0.17147	10.838	10.55	0.0388555533041191	0.224799194290669	FAM217B
THCA	5509	0.06634	6.668	7.834	-0.232495023964329	0.0971234202294056	PPP1R3D
THCA	60437	0.022299	1	1	0	0.0359433210332103	CDH26
THCA	284756	0.021161	1	1	0	0.0342366133838176	C20orf197
THCA	693231	4.3944e-09	1	1	0	1.72235944965105e-08	MIR646
THCA	100616362	0.57316	1	1	0	0.614287511450382	MIR4533
THCA	100616440	0.010923	1	1	0	0.0186357510632758	MIR548AG2
THCA	1002	1e-20	4.095	1	2.03386345186628	1.62178217821782e-19	CDH4
THCA	6874	0.017995	10.532	11.583	-0.137229533616951	0.0294930142583174	TAF4
THCA	149986	0.30039	49.518	53.497	-0.111504944249096	0.363665055432372	LSM14B
THCA	5688	0.01408	312.192	284.552	0.133741248737917	0.0235858598943242	PSMA7
THCA	26039	0.15852	12.044	13.309	-0.144087562188813	0.210515587380936	SS18L1
THCA	26164	2.2198e-07	20.997	25.261	-0.266728537935843	6.94009683473835e-07	MTG2
THCA	105369209	6.674e-08	54.333	64.366	-0.244470108206332	2.22988516063233e-07	OSBPL2
THCA	11047	2.6172e-08	63.177	55.772	0.179858424053988	9.23419192245557e-08	ADRM1
THCA	3911	1.3408e-12	59.494	43.252	0.459977333803577	8.29548781869688e-12	LAMA5
THCA	101928158	0.4309	1	1	0	0.47636035768517	LAMA5-AS1
THCA	6227	0.083798	1885.701	2067.01	-0.132444430467835	0.11972187003925	RPS21
THCA	81928	0.11531	9.116	9.004	0.0178348678111416	0.15933450685413	CABLES2
THCA	140893	0.001585	4.234	8.689	-1.03716888029991	0.00306008839996071	RBBP8NL
THCA	140628	6.4242e-07	1	1	0	1.89430055805581e-06	GATA5
